Province,Livestock_Raised,profession,gender,count_registered_farmers
CAMARINES SUR,Cattle,Farmers who are farm laborers and/or fishermen,Male,"5,056"
CAMARINES SUR,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,0
CAMARINES SUR,Goats,Farmers who are farm laborers and/or fishermen,Male,"2,382"
CAMARINES SUR,Horses,Farmers who are farm laborers and/or fishermen,Male,235
CAMARINES SUR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,3
CAMARINES SUR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"11,931"
CAMARINES SUR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
CAMARINES SUR,Sheep,Farmers who are farm laborers and/or fishermen,Male,5
DAVAO ORIENTAL,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,953
DAVAO ORIENTAL,Cattle,Farmers who are farm laborers and/or fishermen,Male,865
DAVAO ORIENTAL,Dogs and cats,Farmers who are farm laborers and/or fishermen,Male,0
DAVAO ORIENTAL,Goats,Farmers who are farm laborers and/or fishermen,Male,"1,843"
DAVAO ORIENTAL,Horses,Farmers who are farm laborers and/or fishermen,Male,373
DAVAO ORIENTAL,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"4,621"
DAVAO ORIENTAL,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,0
DAVAO ORIENTAL,Sheep,Farmers who are farm laborers and/or fishermen,Male,5
EASTERN SAMAR,Bees,Farmers who are farm laborers and/or fishermen,Male,0
EASTERN SAMAR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,793
EASTERN SAMAR,Cattle,Farmers who are farm laborers and/or fishermen,Male,139
EASTERN SAMAR,Goats,Farmers who are farm laborers and/or fishermen,Male,57
EASTERN SAMAR,Horses,Farmers who are farm laborers and/or fishermen,Male,0
EASTERN SAMAR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,3
EASTERN SAMAR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"1,735"
EASTERN SAMAR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
EASTERN SAMAR,Sheep,Farmers who are farm laborers and/or fishermen,Male,2
IFUGAO,Bees,Farmers who are farm laborers and/or fishermen,Male,2
IFUGAO,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"1,635"
IFUGAO,Cattle,Farmers who are farm laborers and/or fishermen,Male,697
IFUGAO,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,0
IFUGAO,Goats,Farmers who are farm laborers and/or fishermen,Male,518
IFUGAO,Horses,Farmers who are farm laborers and/or fishermen,Male,5
IFUGAO,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"5,402"
IFUGAO,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,16
IFUGAO,Sheep,Farmers who are farm laborers and/or fishermen,Male,3
KALINGA,Bees,Farmers who are farm laborers and/or fishermen,Male,0
KALINGA,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"1,565"
KALINGA,Cattle,Farmers who are farm laborers and/or fishermen,Male,425
KALINGA,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,3
KALINGA,Goats,Farmers who are farm laborers and/or fishermen,Male,231
KALINGA,Horses,Farmers who are farm laborers and/or fishermen,Male,123
KALINGA,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"5,201"
KALINGA,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,3
KALINGA,Sheep,Farmers who are farm laborers and/or fishermen,Male,0
MASBATE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"8,735"
MASBATE,Cattle,Farmers who are farm laborers and/or fishermen,Male,"2,995"
MASBATE,Goats,Farmers who are farm laborers and/or fishermen,Male,"3,220"
MASBATE,Horses,Farmers who are farm laborers and/or fishermen,Male,"1,806"
MASBATE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"11,535"
MASBATE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,0
MASBATE,Sheep,Farmers who are farm laborers and/or fishermen,Male,1
MOUNTAIN PROVINCE,Bees,Farmers who are farm laborers and/or fishermen,Male,0
MOUNTAIN PROVINCE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,801
MOUNTAIN PROVINCE,Cattle,Farmers who are farm laborers and/or fishermen,Male,292
MOUNTAIN PROVINCE,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,1
MOUNTAIN PROVINCE,Goats,Farmers who are farm laborers and/or fishermen,Male,119
MOUNTAIN PROVINCE,Horses,Farmers who are farm laborers and/or fishermen,Male,17
MOUNTAIN PROVINCE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"3,273"
MOUNTAIN PROVINCE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
MOUNTAIN PROVINCE,Sheep,Farmers who are farm laborers and/or fishermen,Male,2
MOUNTAIN PROVINCE,Silkworms,Farmers who are farm laborers and/or fishermen,Male,0
COTABATO (NORTH COTABATO),Asses,Farmers who are farm laborers and/or fishermen,Male,24
COTABATO (NORTH COTABATO),Bees,Farmers who are farm laborers and/or fishermen,Male,1
COTABATO (NORTH COTABATO),Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"9,168"
COTABATO (NORTH COTABATO),Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Male,23
COTABATO (NORTH COTABATO),Cattle,Farmers who are farm laborers and/or fishermen,Male,"8,187"
COTABATO (NORTH COTABATO),Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,9
COTABATO (NORTH COTABATO),Dogs and cats,Farmers who are farm laborers and/or fishermen,Male,1
COTABATO (NORTH COTABATO),Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Male,40
COTABATO (NORTH COTABATO),Goats,Farmers who are farm laborers and/or fishermen,Male,"6,847"
COTABATO (NORTH COTABATO),Horses,Farmers who are farm laborers and/or fishermen,Male,"2,157"
COTABATO (NORTH COTABATO),Mules and hinnies,Farmers who are farm laborers and/or fishermen,Male,8
COTABATO (NORTH COTABATO),Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,1
COTABATO (NORTH COTABATO),Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Male,6
COTABATO (NORTH COTABATO),Other worms or insects,Farmers who are farm laborers and/or fishermen,Male,0
COTABATO (NORTH COTABATO),Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"9,660"
COTABATO (NORTH COTABATO),Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,8
COTABATO (NORTH COTABATO),Sheep,Farmers who are farm laborers and/or fishermen,Male,23
COTABATO (NORTH COTABATO),Silkworms,Farmers who are farm laborers and/or fishermen,Male,0
COTABATO (NORTH COTABATO),Yaks,Farmers who are farm laborers and/or fishermen,Male,2
NORTHERN SAMAR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"2,726"
NORTHERN SAMAR,Cattle,Farmers who are farm laborers and/or fishermen,Male,391
NORTHERN SAMAR,Dogs and cats,Farmers who are farm laborers and/or fishermen,Male,1
NORTHERN SAMAR,Goats,Farmers who are farm laborers and/or fishermen,Male,138
NORTHERN SAMAR,Horses,Farmers who are farm laborers and/or fishermen,Male,34
NORTHERN SAMAR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"6,694"
NORTHERN SAMAR,Sheep,Farmers who are farm laborers and/or fishermen,Male,2
ROMBLON,Asses,Farmers who are farm laborers and/or fishermen,Male,1
ROMBLON,Bees,Farmers who are farm laborers and/or fishermen,Male,1
ROMBLON,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,438
ROMBLON,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Male,1
ROMBLON,Cattle,Farmers who are farm laborers and/or fishermen,Male,"1,878"
ROMBLON,Goats,Farmers who are farm laborers and/or fishermen,Male,"1,544"
ROMBLON,Horses,Farmers who are farm laborers and/or fishermen,Male,18
ROMBLON,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Male,1
ROMBLON,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"3,846"
ROMBLON,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,0
ROMBLON,Sheep,Farmers who are farm laborers and/or fishermen,Male,1
ROMBLON,Yaks,Farmers who are farm laborers and/or fishermen,Male,1
SAMAR (WESTERN SAMAR),Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,954
SAMAR (WESTERN SAMAR),Cattle,Farmers who are farm laborers and/or fishermen,Male,96
SAMAR (WESTERN SAMAR),Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,0
SAMAR (WESTERN SAMAR),Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Male,0
SAMAR (WESTERN SAMAR),Goats,Farmers who are farm laborers and/or fishermen,Male,172
SAMAR (WESTERN SAMAR),Horses,Farmers who are farm laborers and/or fishermen,Male,1
SAMAR (WESTERN SAMAR),Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"2,585"
SAMAR (WESTERN SAMAR),Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,0
SAMAR (WESTERN SAMAR),Sheep,Farmers who are farm laborers and/or fishermen,Male,0
SIQUIJOR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,111
SIQUIJOR,Cattle,Farmers who are farm laborers and/or fishermen,Male,"3,243"
SIQUIJOR,Goats,Farmers who are farm laborers and/or fishermen,Male,"1,866"
SIQUIJOR,Horses,Farmers who are farm laborers and/or fishermen,Male,4
SIQUIJOR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"2,514"
SIQUIJOR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,0
SIQUIJOR,Sheep,Farmers who are farm laborers and/or fishermen,Male,1
SULTAN KUDARAT,Asses,Farmers who are farm laborers and/or fishermen,Male,6
SULTAN KUDARAT,Bees,Farmers who are farm laborers and/or fishermen,Male,3
SULTAN KUDARAT,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"2,741"
SULTAN KUDARAT,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Male,1
SULTAN KUDARAT,Cattle,Farmers who are farm laborers and/or fishermen,Male,"2,206"
SULTAN KUDARAT,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,0
SULTAN KUDARAT,Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Male,1
SULTAN KUDARAT,Goats,Farmers who are farm laborers and/or fishermen,Male,"2,696"
SULTAN KUDARAT,Horses,Farmers who are farm laborers and/or fishermen,Male,"2,075"
SULTAN KUDARAT,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Male,2
SULTAN KUDARAT,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,0
SULTAN KUDARAT,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Male,10
SULTAN KUDARAT,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"5,810"
SULTAN KUDARAT,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,0
SULTAN KUDARAT,Sheep,Farmers who are farm laborers and/or fishermen,Male,3
SULTAN KUDARAT,Yaks,Farmers who are farm laborers and/or fishermen,Male,3
SURIGAO DEL NORTE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"1,393"
SURIGAO DEL NORTE,Cattle,Farmers who are farm laborers and/or fishermen,Male,160
SURIGAO DEL NORTE,Goats,Farmers who are farm laborers and/or fishermen,Male,234
SURIGAO DEL NORTE,Horses,Farmers who are farm laborers and/or fishermen,Male,30
SURIGAO DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,25
SURIGAO DEL NORTE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"3,701"
SURIGAO DEL NORTE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
SURIGAO DEL NORTE,Sheep,Farmers who are farm laborers and/or fishermen,Male,4
SURIGAO DEL NORTE,Silkworms,Farmers who are farm laborers and/or fishermen,Male,1
SURIGAO DEL SUR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"2,245"
SURIGAO DEL SUR,Cattle,Farmers who are farm laborers and/or fishermen,Male,172
SURIGAO DEL SUR,Goats,Farmers who are farm laborers and/or fishermen,Male,528
SURIGAO DEL SUR,Horses,Farmers who are farm laborers and/or fishermen,Male,16
SURIGAO DEL SUR,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Male,2
SURIGAO DEL SUR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,1
SURIGAO DEL SUR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"5,501"
SURIGAO DEL SUR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
SURIGAO DEL SUR,Sheep,Farmers who are farm laborers and/or fishermen,Male,2
ZAMBOANGA DEL NORTE,Asses,Farmers who are farm laborers and/or fishermen,Male,13
ZAMBOANGA DEL NORTE,Bees,Farmers who are farm laborers and/or fishermen,Male,3
ZAMBOANGA DEL NORTE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"7,385"
ZAMBOANGA DEL NORTE,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Male,3
ZAMBOANGA DEL NORTE,Cattle,Farmers who are farm laborers and/or fishermen,Male,"5,062"
ZAMBOANGA DEL NORTE,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,5
ZAMBOANGA DEL NORTE,Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Male,1
ZAMBOANGA DEL NORTE,Goats,Farmers who are farm laborers and/or fishermen,Male,"2,771"
ZAMBOANGA DEL NORTE,Horses,Farmers who are farm laborers and/or fishermen,Male,939
ZAMBOANGA DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,1
ZAMBOANGA DEL NORTE,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Male,3
ZAMBOANGA DEL NORTE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"14,027"
ZAMBOANGA DEL NORTE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,2
ZAMBOANGA DEL NORTE,Sheep,Farmers who are farm laborers and/or fishermen,Male,1
ZAMBOANGA DEL NORTE,Silkworms,Farmers who are farm laborers and/or fishermen,Male,0
ZAMBOANGA DEL NORTE,Yaks,Farmers who are farm laborers and/or fishermen,Male,2
SARANGANI,Asses,Farmers who are farm laborers and/or fishermen,Male,7
SARANGANI,Bees,Farmers who are farm laborers and/or fishermen,Male,2
SARANGANI,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"1,397"
SARANGANI,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Male,7
SARANGANI,Cattle,Farmers who are farm laborers and/or fishermen,Male,"1,431"
SARANGANI,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,1
SARANGANI,Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Male,0
SARANGANI,Goats,Farmers who are farm laborers and/or fishermen,Male,"1,583"
SARANGANI,Horses,Farmers who are farm laborers and/or fishermen,Male,"1,437"
SARANGANI,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Male,1
SARANGANI,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,0
SARANGANI,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Male,3
SARANGANI,Other worms or insects,Farmers who are farm laborers and/or fishermen,Male,0
SARANGANI,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"4,498"
SARANGANI,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,2
SARANGANI,Sheep,Farmers who are farm laborers and/or fishermen,Male,9
SARANGANI,Silkworms,Farmers who are farm laborers and/or fishermen,Male,0
SARANGANI,Yaks,Farmers who are farm laborers and/or fishermen,Male,2
APAYAO,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Male,"1,775"
APAYAO,Cattle,Farmers who are farm laborers and/or fishermen,Male,282
APAYAO,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Male,3
APAYAO,Goats,Farmers who are farm laborers and/or fishermen,Male,285
APAYAO,Horses,Farmers who are farm laborers and/or fishermen,Male,14
APAYAO,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Male,0
APAYAO,Pigs or swine,Farmers who are farm laborers and/or fishermen,Male,"3,379"
APAYAO,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Male,1
APAYAO,Sheep,Farmers who are farm laborers and/or fishermen,Male,0
ABRA,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,254
ABRA,Cattle,Farmers who are farm laborers and/or fishermen,Female,273
ABRA,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,1
ABRA,Goats,Farmers who are farm laborers and/or fishermen,Female,241
ABRA,Horses,Farmers who are farm laborers and/or fishermen,Female,9
ABRA,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,841
ABRA,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
ABRA,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
AGUSAN DEL SUR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,140
AGUSAN DEL SUR,Cattle,Farmers who are farm laborers and/or fishermen,Female,20
AGUSAN DEL SUR,Dogs and cats,Farmers who are farm laborers and/or fishermen,Female,0
AGUSAN DEL SUR,Goats,Farmers who are farm laborers and/or fishermen,Female,139
AGUSAN DEL SUR,Horses,Farmers who are farm laborers and/or fishermen,Female,4
AGUSAN DEL SUR,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Female,0
AGUSAN DEL SUR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
AGUSAN DEL SUR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,930
AGUSAN DEL SUR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
AGUSAN DEL SUR,Sheep,Farmers who are farm laborers and/or fishermen,Female,1
AGUSAN DEL SUR,Silkworms,Farmers who are farm laborers and/or fishermen,Female,0
CAMARINES SUR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,739
CAMARINES SUR,Cattle,Farmers who are farm laborers and/or fishermen,Female,349
CAMARINES SUR,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
CAMARINES SUR,Goats,Farmers who are farm laborers and/or fishermen,Female,212
CAMARINES SUR,Horses,Farmers who are farm laborers and/or fishermen,Female,15
CAMARINES SUR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
CAMARINES SUR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"1,475"
CAMARINES SUR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
CAMARINES SUR,Sheep,Farmers who are farm laborers and/or fishermen,Female,1
DAVAO ORIENTAL,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,82
DAVAO ORIENTAL,Cattle,Farmers who are farm laborers and/or fishermen,Female,106
DAVAO ORIENTAL,Dogs and cats,Farmers who are farm laborers and/or fishermen,Female,0
DAVAO ORIENTAL,Goats,Farmers who are farm laborers and/or fishermen,Female,197
DAVAO ORIENTAL,Horses,Farmers who are farm laborers and/or fishermen,Female,18
DAVAO ORIENTAL,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,410
DAVAO ORIENTAL,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
DAVAO ORIENTAL,Sheep,Farmers who are farm laborers and/or fishermen,Female,1
EASTERN SAMAR,Bees,Farmers who are farm laborers and/or fishermen,Female,1
EASTERN SAMAR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,49
EASTERN SAMAR,Cattle,Farmers who are farm laborers and/or fishermen,Female,11
EASTERN SAMAR,Goats,Farmers who are farm laborers and/or fishermen,Female,3
EASTERN SAMAR,Horses,Farmers who are farm laborers and/or fishermen,Female,0
EASTERN SAMAR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
EASTERN SAMAR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,162
EASTERN SAMAR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
EASTERN SAMAR,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
IFUGAO,Bees,Farmers who are farm laborers and/or fishermen,Female,0
IFUGAO,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,418
IFUGAO,Cattle,Farmers who are farm laborers and/or fishermen,Female,130
IFUGAO,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
IFUGAO,Goats,Farmers who are farm laborers and/or fishermen,Female,191
IFUGAO,Horses,Farmers who are farm laborers and/or fishermen,Female,1
IFUGAO,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"2,879"
IFUGAO,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,9
IFUGAO,Sheep,Farmers who are farm laborers and/or fishermen,Female,1
KALINGA,Bees,Farmers who are farm laborers and/or fishermen,Female,1
KALINGA,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,154
KALINGA,Cattle,Farmers who are farm laborers and/or fishermen,Female,36
KALINGA,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
KALINGA,Goats,Farmers who are farm laborers and/or fishermen,Female,42
KALINGA,Horses,Farmers who are farm laborers and/or fishermen,Female,8
KALINGA,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"1,013"
KALINGA,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
KALINGA,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
MASBATE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,551
MASBATE,Cattle,Farmers who are farm laborers and/or fishermen,Female,243
MASBATE,Goats,Farmers who are farm laborers and/or fishermen,Female,292
MASBATE,Horses,Farmers who are farm laborers and/or fishermen,Female,120
MASBATE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"1,211"
MASBATE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
MASBATE,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
MOUNTAIN PROVINCE,Bees,Farmers who are farm laborers and/or fishermen,Female,0
MOUNTAIN PROVINCE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,198
MOUNTAIN PROVINCE,Cattle,Farmers who are farm laborers and/or fishermen,Female,84
MOUNTAIN PROVINCE,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
MOUNTAIN PROVINCE,Goats,Farmers who are farm laborers and/or fishermen,Female,16
MOUNTAIN PROVINCE,Horses,Farmers who are farm laborers and/or fishermen,Female,3
MOUNTAIN PROVINCE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"1,406"
MOUNTAIN PROVINCE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,1
MOUNTAIN PROVINCE,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
MOUNTAIN PROVINCE,Silkworms,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Asses,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Bees,Farmers who are farm laborers and/or fishermen,Female,2
COTABATO (NORTH COTABATO),Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,857
COTABATO (NORTH COTABATO),Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Cattle,Farmers who are farm laborers and/or fishermen,Female,975
COTABATO (NORTH COTABATO),Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Dogs and cats,Farmers who are farm laborers and/or fishermen,Female,0
COTABATO (NORTH COTABATO),Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Female,5
COTABATO (NORTH COTABATO),Goats,Farmers who are farm laborers and/or fishermen,Female,"1,205"
COTABATO (NORTH COTABATO),Horses,Farmers who are farm laborers and/or fishermen,Female,139
COTABATO (NORTH COTABATO),Mules and hinnies,Farmers who are farm laborers and/or fishermen,Female,0
COTABATO (NORTH COTABATO),Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
COTABATO (NORTH COTABATO),Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Other worms or insects,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"2,063"
COTABATO (NORTH COTABATO),Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,3
COTABATO (NORTH COTABATO),Sheep,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Silkworms,Farmers who are farm laborers and/or fishermen,Female,1
COTABATO (NORTH COTABATO),Yaks,Farmers who are farm laborers and/or fishermen,Female,1
NORTHERN SAMAR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,145
NORTHERN SAMAR,Cattle,Farmers who are farm laborers and/or fishermen,Female,30
NORTHERN SAMAR,Dogs and cats,Farmers who are farm laborers and/or fishermen,Female,0
NORTHERN SAMAR,Goats,Farmers who are farm laborers and/or fishermen,Female,17
NORTHERN SAMAR,Horses,Farmers who are farm laborers and/or fishermen,Female,1
NORTHERN SAMAR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,565
NORTHERN SAMAR,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Asses,Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Bees,Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,44
ROMBLON,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Cattle,Farmers who are farm laborers and/or fishermen,Female,250
ROMBLON,Goats,Farmers who are farm laborers and/or fishermen,Female,251
ROMBLON,Horses,Farmers who are farm laborers and/or fishermen,Female,1
ROMBLON,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,688
ROMBLON,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
ROMBLON,Yaks,Farmers who are farm laborers and/or fishermen,Female,0
SAMAR (WESTERN SAMAR),Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,85
SAMAR (WESTERN SAMAR),Cattle,Farmers who are farm laborers and/or fishermen,Female,3
SAMAR (WESTERN SAMAR),Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
SAMAR (WESTERN SAMAR),Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Female,0
SAMAR (WESTERN SAMAR),Goats,Farmers who are farm laborers and/or fishermen,Female,11
SAMAR (WESTERN SAMAR),Horses,Farmers who are farm laborers and/or fishermen,Female,0
SAMAR (WESTERN SAMAR),Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,149
SAMAR (WESTERN SAMAR),Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
SAMAR (WESTERN SAMAR),Sheep,Farmers who are farm laborers and/or fishermen,Female,0
